product_id,name,dosage_raw,dosage_used,purity,lot,current_image_path,generated_file,image_path_to_set
chonluten,Chonluten,vial,,00,FW2607B039,images/chonluten.png,/home/zmalcolm/forgewell-live/images/chonluten-tpl.webp,images/chonluten-tpl.png
cjc-1295-ipamorelin-high,CJC-1295/Ipamorelin,High (exact size TBD),High,00,FW2607B008,images/cjc-1295-ipamorelin 10mg.png,/home/zmalcolm/forgewell-live/images/cjc-1295-ipamorelin-high-tpl.webp,images/cjc-1295-ipamorelin-high-tpl.png
cjc-1295-ipamorelin-low,CJC-1295/Ipamorelin,Low (exact size TBD),Low,00,FW2607B008,images/cjc-1295-ipamorelin 10mg.png,/home/zmalcolm/forgewell-live/images/cjc-1295-ipamorelin-low-tpl.webp,images/cjc-1295-ipamorelin-low-tpl.png
cjc-ipa-blend-kit-10-pack,CJC/IPA Blend Kit,10-Pack,10-Pack,00,FW2607K012,images/cjc-ipa-blend-kit  10mg.png,/home/zmalcolm/forgewell-live/images/cjc-ipa-blend-kit-10-pack-tpl.webp,images/cjc-ipa-blend-kit-10-pack-tpl.png
cjc-ipa-blend-kit-5-pack,CJC/IPA Blend Kit,5-Pack,5-Pack,00,FW2607K012,images/cjc-ipa-blend-kit  10mg.png,/home/zmalcolm/forgewell-live/images/cjc-ipa-blend-kit-5-pack-tpl.webp,images/cjc-ipa-blend-kit-5-pack-tpl.png
glutathione,Glutathione,600mg,600mg,00,FW2607X001,images/glutathione 600mg.png,/home/zmalcolm/forgewell-live/images/glutathione-600mg-tpl.webp,images/glutathione-600mg-tpl.png
acetyl-d-glucosamine,Acetyl D-Glucosamine,vial,,00,FW2607M006,images/acetyl-d-glucosamine 500mg.png,/home/zmalcolm/forgewell-live/images/acetyl-d-glucosamine-tpl.webp,images/acetyl-d-glucosamine-tpl.png
adamax,Adamax,vial,,00,FW2607B049,images/adamax 10mg.png,/home/zmalcolm/forgewell-live/images/adamax-tpl.webp,images/adamax-tpl.png
ara-290,ARA-290,vial,,00,FW2607B031,images/ara-290 10mg.png,/home/zmalcolm/forgewell-live/images/ara-290-tpl.webp,images/ara-290-tpl.png
b12,B12,vial,,00,FW2607M002,images/b12 5000mcg.png,/home/zmalcolm/forgewell-live/images/b12-tpl.webp,images/b12-tpl.png
b6,B6,vial,,00,FW2607M003,images/b6 50mg.png,/home/zmalcolm/forgewell-live/images/b6-tpl.webp,images/b6-tpl.png
bcaa-211,BCAA 2:1:1,vial,,00,FW2607M004,images/bcaa-211 30ml.png,/home/zmalcolm/forgewell-live/images/bcaa-2-1-1-tpl.webp,images/bcaa-2-1-1-tpl.png
body-boost,Body Boost,vial,,00,FW2607M019,images/body-boost 30ml.png,/home/zmalcolm/forgewell-live/images/body-boost-tpl.webp,images/body-boost-tpl.png
semax-selank-low,Semax/Selank,Low (exact size TBD),Low,00,FW2607B011,images/semax-selank.png,/home/zmalcolm/forgewell-live/images/semax-selank-low-tpl.webp,images/semax-selank-low-tpl.png
semax-selank-high,Semax/Selank,High (exact size TBD),High,00,FW2607B011,images/semax-selank.png,/home/zmalcolm/forgewell-live/images/semax-selank-high-tpl.webp,images/semax-selank-high-tpl.png
5-amino-1mq,5-Amino-1MQ,vial,,00,FW2607B016,images/5-amino-1mq.png,/home/zmalcolm/forgewell-live/images/5-amino-1mq-tpl.webp,images/5-amino-1mq-tpl.png
cjc-1295,CJC-1295,vial,,00,FW2607B032,images/cjc-1295.png,/home/zmalcolm/forgewell-live/images/cjc-1295-tpl.webp,images/cjc-1295-tpl.png
selank,Selank,vial,,00,FW2607B034,images/selank.png,/home/zmalcolm/forgewell-live/images/selank-tpl.webp,images/selank-tpl.png
mt-2,MT-2,vial,,00,FW2607B051,images/mt-2.png,/home/zmalcolm/forgewell-live/images/mt-2-tpl.webp,images/mt-2-tpl.png
pt-141,PT-141,vial,,00,FW2607B052,images/pt-141.png,/home/zmalcolm/forgewell-live/images/pt-141-tpl.webp,images/pt-141-tpl.png
bpc-157-10mg,BPC-157,10mg,10mg,99,FW2607B002,images/bpc-157-10mg.png,/home/zmalcolm/forgewell-live/images/bpc-157-10mg-tpl.webp,images/bpc-157-10mg-tpl.png
bpc-157-5mg,BPC-157,5mg,5mg,00,FW2607B002,images/bpc-157  5mg.png,/home/zmalcolm/forgewell-live/images/bpc-157-5mg-tpl.webp,images/bpc-157-5mg-tpl.png
bpc-157-kit-10-pack,BPC-157 Kit,10-Pack,10-Pack,00,FW2607K009,images/bpc-157-kit.png,/home/zmalcolm/forgewell-live/images/bpc-157-kit-10-pack-tpl.webp,images/bpc-157-kit-10-pack-tpl.png
