product_id,name,dosage_raw,dosage_used,old_purity,new_purity,current_image_path,generated_file,image_path_to_set
bpc-157-kit-10mg-10-pack,BPC-157 Kit,10mg,10mg,00,99,images/bpc-157-kit-10mg-10-pack-tpl.png,/home/zmalcolm/forgewell-live/images/bpc-157-kit-10mg-tpl.webp,images/bpc-157-kit-10mg-tpl.png
bpc-157-kit-10-pack,BPC-157 Kit,5mg,5mg,00,99,images/bpc-157-kit-10-pack-tpl.png,/home/zmalcolm/forgewell-live/images/bpc-157-kit-5mg-tpl.webp,images/bpc-157-kit-5mg-tpl.png
mots-c-low,MOTS-C,10mg,10mg,00,99,images/mots-c-low-tpl.png,/home/zmalcolm/forgewell-live/images/mots-c-10mg-tpl.webp,images/mots-c-10mg-tpl.png
retatrutide-high,Retatrutide,100mg,100mg,00,99,images/retatrutide-high-tpl.png,/home/zmalcolm/forgewell-live/images/retatrutide-100mg-tpl.webp,images/retatrutide-100mg-tpl.png
bpc-tb-blend-kit-20mg-20mg-5-pack,BPC/TB Blend Kit,20mg/20mg,20mg/20mg,00,99,images/bpc-tb-blend-kit-20mg-20mg-5-pack-tpl.png,/home/zmalcolm/forgewell-live/images/bpc-tb-blend-kit-20mg-20mg-tpl.webp,images/bpc-tb-blend-kit-20mg-20mg-tpl.png
pancragen,Pancragen,15mg,15mg,00,99,images/pancragen-tpl.png,/home/zmalcolm/forgewell-live/images/pancragen-15mg-tpl.webp,images/pancragen-15mg-tpl.png
pt-141-kit-5-pack,PT-141 Kit,10mg,10mg,00,99,images/pt-141-kit-5-pack-tpl.png,/home/zmalcolm/forgewell-live/images/pt-141-kit-10mg-tpl.webp,images/pt-141-kit-10mg-tpl.png
semaglutide-kit-5-pack,Semaglutide Kit,5mg,5mg,00,99,images/semaglutide-kit-5-pack-tpl.png,/home/zmalcolm/forgewell-live/images/semaglutide-kit-5mg-tpl.webp,images/semaglutide-kit-5mg-tpl.png
mots-c-kit-40mg-5-pack,MOTS-C Kit,40mg,40mg,00,99,images/mots-c-kit-40mg-5-pack-tpl.png,/home/zmalcolm/forgewell-live/images/mots-c-kit-40mg-tpl.webp,images/mots-c-kit-40mg-tpl.png
ss-31-kit-10-pack,SS-31 Kit,50mg,50mg,00,99,images/ss-31-kit-10-pack-tpl.png,/home/zmalcolm/forgewell-live/images/ss-31-kit-50mg-tpl.webp,images/ss-31-kit-50mg-tpl.png
sermorelin-kit-10mg-5-pack,Sermorelin Kit,10mg,10mg,00,99,images/sermorelin-kit-10mg-5-pack-tpl.png,/home/zmalcolm/forgewell-live/images/sermorelin-kit-10mg-tpl.webp,images/sermorelin-kit-10mg-tpl.png
tirzepatide-kit-30mg-10-pack,Tirzepatide Kit,30mg,30mg,00,99,images/tirzepatide-kit-30mg-10-pack-tpl.png,/home/zmalcolm/forgewell-live/images/tirzepatide-kit-30mg-tpl.webp,images/tirzepatide-kit-30mg-tpl.png
ll-37,LL-37,5mg,5mg,00,99,images/ll-37-tpl.png,/home/zmalcolm/forgewell-live/images/ll-37-5mg-tpl.webp,images/ll-37-5mg-tpl.png
sermorelin-kit-5mg-10-pack,Sermorelin Kit,5mg,5mg,00,99,images/sermorelin-kit-5mg-10-pack-tpl.png,/home/zmalcolm/forgewell-live/images/sermorelin-kit-5mg-tpl.webp,images/sermorelin-kit-5mg-tpl.png
semaglutide-kit-10mg-10-pack,Semaglutide Kit,10mg,10mg,00,99,images/semaglutide-kit-10mg-10-pack-tpl.png,/home/zmalcolm/forgewell-live/images/semaglutide-kit-10mg-tpl.webp,images/semaglutide-kit-10mg-tpl.png
dsip-high,DSIP,15mg,15mg,00,99,images/dsip-high-tpl.png,/home/zmalcolm/forgewell-live/images/dsip-15mg-tpl.webp,images/dsip-15mg-tpl.png
l-carnitine-high,L-Carnitine,600mg,600mg,00,99,images/l-carnitine-high-tpl.png,/home/zmalcolm/forgewell-live/images/l-carnitine-600mg-tpl.webp,images/l-carnitine-600mg-tpl.png
pt-141-kit-10-pack,PT-141 Kit,10mg,10mg,00,99,images/pt-141-kit-10-pack-tpl.png,/home/zmalcolm/forgewell-live/images/pt-141-kit-10mg-tpl.webp,images/pt-141-kit-10mg-tpl.png
